Calculator Expressions Plot 1
Distance [mm]
Mag_B [mTesla]
__cartesian__ 0 0 0.000000 401.562331 202.068000 834.093763
__settings__ 1 0 0 0 11 11 0 0 0 0
0 401.655
0.202068 415.182
0.404136 474.047
0.606204 539.733
0.808272 601.56
1.01034 658.757
1.21241 697.938
1.41448 706.538
1.61654 671.849
1.81861 627.244
2.02068 584.242
2.22275 549.02
2.42482 530.456
2.62688 519.064
2.82895 515.58
3.03102 523.891
3.23309 540.723
3.43516 569.104
3.63722 612.587
3.83929 673.653
4.04136 739.443
4.24343 798.443
4.4455 823.266
4.64756 823.269
4.84963 818.51
5.0517 811.814
5.25377 808.125
5.45584 806.365
5.6579 806.393
5.85997 808.02
6.06204 811.426
6.26411 817.462
6.46618 824.396
6.66824 832.491
6.87031 818.016
7.07238 777.805
7.27445 719.713
7.47652 654.023
7.67858 600.692
7.88065 563.388
8.08272 541.985
8.28479 529.682
8.48686 527.875
8.68892 536.682
8.89099 554.617
9.09306 586.609
9.29513 632.692
9.4972 695.712
9.69926 760.08
9.90133 804.303
10.1034 833.035
10.3055 827.57
10.5075 820.842
10.7096 812.962
10.9117 809.309
11.1137 807.466
11.3158 807.359
11.5179 809.006
11.7199 812.53
11.922 818.789
12.1241 825.697
12.3261 833.926
12.5282 809.746
12.7303 766.219
12.9324 703.92
13.1344 639.342
13.3365 591.087
13.5386 557.751
13.7406 538.188
13.9427 527.821
14.1448 529.124
14.3468 539.745
14.5489 557.774
14.751 596.393
14.953 646.338
15.1551 711.667
15.3572 771.081
15.5592 811.671
15.7613 831.373
15.9634 825.836
16.1654 818.824
16.3675 811.694
16.5696 808.444
16.7716 806.999
16.9737 807.233
17.1758 809.281
17.3778 813.226
17.5799 819.895
17.782 827.073
17.9841 832.187
18.1861 801.296
18.3882 754.056
18.5903 688.614
18.7923 625.639
18.9944 582.193
19.1965 553.318
19.3985 535.181
19.6006 526.433
19.8027 530.043
20.0047 543.257
20.2068 564.422
20.4089 606.628
20.6109 659.941
20.813 727.225
21.0151 781.789
21.2171 820.577
21.4192 831.523
21.6213 823.106
21.8233 815.953
22.0254 810.624
22.2275 807.766
22.4295 806.266
22.6316 807.327
22.8337 809.893
23.0358 814.513
23.2378 821.436
23.4399 829.508
23.642 827.153
23.844 791.669
24.0461 740.697
24.2482 673.851
24.4502 614.047
24.6523 574.057
24.8544 548.265
25.0564 532.098
25.2585 525.576
25.4606 532.493
25.6626 548.857
25.8647 574.196
26.0668 613.694
26.2688 673.796
26.4709 740.69
26.673 791.68
26.875 827.16
27.0771 829.507
27.2792 821.433
27.4812 814.513
27.6833 809.896
27.8854 807.332
28.0875 806.272
28.2895 807.771
28.4916 810.629
28.6937 815.975
28.8957 823.15
29.0978 831.549
29.2999 820.789
29.5019 781.867
29.704 726.623
29.9061 662.465
30.1081 608.101
30.3102 562.685
30.5123 543.336
30.7143 530.444
30.9164 526.344
31.1185 535.483
31.3205 552.187
31.5226 580.804
31.7247 627.69
31.9267 688.832
32.1288 753.871
32.3309 809.69
32.5329 829.711
32.735 826.474
32.9371 820.823
33.1392 813.23
33.3412 809.312
33.5433 807.267
33.7454 807.019
33.9474 808.456
34.1495 811.698
34.3516 818.833
34.5536 825.926
34.7557 831.616
34.9578 811.707
35.1598 771.131
35.3619 712.113
35.564 644.859
35.766 596.556
35.9681 560.335
36.1702 539.646
36.3722 528.467
36.5743 527.909
36.7764 537.998
36.9784 557.415
37.1805 590.751
37.3826 640.012
37.5846 702.612
37.7867 765.882
37.9888 810.01
38.1909 834.059
38.3929 825.775
38.595 818.805
38.7971 812.513
38.9991 809.004
39.2012 807.368
39.4033 807.479
39.6053 809.323
39.8074 812.979
40.0095 820.832
40.2115 827.465
40.4136 832.778
40.6157 804.283
40.8177 760.194
41.0198 695.817
41.2219 632.705
41.4239 586.686
41.626 554.918
41.8281 536.742
42.0301 527.826
42.2322 529.704
42.4343 541.833
42.6363 563.005
42.8384 600.727
43.0405 654.071
43.2426 719.818
43.4446 777.795
43.6467 817.939
43.8488 832.399
44.0508 824.349
44.2529 817.469
44.455 811.452
44.657 808.038
44.8591 806.407
45.0612 806.395
45.2632 808.078
45.4653 811.575
45.6674 818.834
45.8694 823.946
46.0715 821.661
46.2736 788.817
46.4756 739.899
46.6777 672.886
46.8798 611.197
47.0818 569.591
47.2839 541.333
47.486 523.798
47.688 515.529
47.8901 518.596
48.0922 530.401
48.2943 550.268
48.4963 582.659
48.6984 626.988
48.9005 675.436
49.1025 698.244
49.3046 698.479
49.5067 658.012
49.7087 605.252
49.9108 539.062
50.1129 474.303
50.3149 416.275
50.517 401.578
50.7191 416.264
50.9211 473.628
51.1232 540.731
51.3253 602.238
51.5273 660.027
51.7294 700.261
51.9315 707.042
52.1335 672.139
52.3356 628.192
52.5377 583.981
52.7397 550.688
52.9418 530.68
53.1439 517.659
53.346 512.552
53.548 522.408
53.7501 541.437
53.9522 570.773
54.1542 611.311
54.3563 672.565
54.5584 739.785
54.7604 788.853
54.9625 821.837
55.1646 824.065
55.3666 818.875
55.5687 811.576
55.7708 808.075
55.9728 806.39
56.1749 806.402
56.377 808.032
56.579 811.448
56.7811 817.481
56.9832 824.381
57.1852 832.44
57.3873 817.678
57.5894 777.945
57.7914 721.396
57.9935 653.863
58.1956 600.901
58.3977 562.891
58.5997 542.584
58.8018 529.701
59.0039 527.515
59.2059 537.125
59.408 553.601
59.6101 586.756
59.8121 637.244
60.0142 696.421
60.2163 760.148
60.4183 805.286
60.6204 833.482
60.8225 827.444
61.0245 820.735
61.2266 813.14
61.4287 809.359
61.6307 807.467
61.8328 807.36
62.0349 809.006
62.2369 812.536
62.439 818.853
62.6411 825.828
62.8431 834.091
63.0452 810.304
63.2473 766.107
63.4494 702.696
63.6514 644.363
63.8535 594.049
64.0556 557.182
64.2576 537.87
64.4597 528.021
64.6618 529.225
64.8638 539.919
65.0659 557.867
65.268 597.033
65.47 649.55
65.6721 711.021
65.8742 771.455
66.0762 812.723
66.2783 832.006
66.4804 825.782
66.6824 818.764
66.8845 811.812
67.0866 808.498
67.2886 807.071
67.4907 807.315
67.6928 809.325
67.8948 813.212
68.0969 819.96
68.299 827.191
68.5011 832.343
68.7031 801.379
68.9052 753.384
69.1073 688.018
69.3093 626.689
69.5114 581.537
69.7135 551.912
69.9155 534.74
70.1176 526.958
70.3197 529.862
70.5217 543.449
70.7238 566.442
70.9259 605.723
71.1279 658.505
71.33 728.077
71.5321 782.004
71.7341 820.582
71.9362 831.585
72.1383 823.191
72.3403 815.996
72.5424 810.649
72.7445 807.814
72.9465 806.348
73.1486 807.386
73.3507 809.897
73.5528 814.459
73.7548 821.442
73.9569 829.527
74.159 827.155
74.361 791.889
74.5631 741.521
74.7652 673.011
74.9672 615.578
75.1693 575.466
75.3714 547.915
75.5734 531.108
75.7755 524.263
75.9776 531.092
76.1796 547.685
76.3817 575.216
76.5838 615.617
76.7858 673.017
76.9879 741.523
77.19 791.889
77.392 827.178
77.5941 829.562
77.7962 821.476
77.9982 814.487
78.2003 809.906
78.4024 807.385
78.6045 806.35
78.8065 807.826
79.0086 810.659
79.2107 815.984
79.4127 823.167
79.6148 831.594
79.8169 820.627
80.0189 781.814
80.221 727.23
80.4231 659.93
80.6251 606.552
80.8272 564.718
81.0293 545.636
81.2313 534.442
81.4334 531.611
81.6355 537.336
81.8375 551.531
82.0396 584.01
82.2417 628.58
82.4437 688.355
82.6458 753.887
82.8479 801.309
83.0499 832.304
83.252 827.178
83.4541 819.951
83.6562 813.221
83.8582 809.308
84.0603 807.29
84.2624 807.061
84.4644 808.469
84.6665 811.696
84.8686 818.841
85.0706 825.927
85.2727 831.578
85.4748 811.709
85.6768 771.083
85.8789 712.153
86.081 646.595
86.283 595.985
86.4851 561.165
86.6872 539.395
86.8892 526.05
87.0913 525.127
87.2934 537.541
87.4954 558.159
87.6975 591.72
87.8996 639.206
88.1016 703.66
88.3037 766.216
88.5058 809.857
88.7079 834.075
88.9099 825.786
89.112 818.819
89.3141 812.528
89.5161 809.014
89.7182 807.373
89.9203 807.472
90.1223 809.352
90.3244 813.117
90.5265 820.702
90.7285 827.413
90.9306 833.456
91.1327 804.872
91.3347 760.264
91.5368 696.416
91.7389 632.454
91.9409 586.415
92.143 555.08
92.3451 537.388
92.5471 527.339
92.7492 529.186
92.9513 541.836
93.1533 563.362
93.3554 605.004
93.5575 657.12
93.7596 719.548
93.9616 778.058
94.1637 818.279
94.3658 832.515
94.5678 824.428
94.7699 817.489
94.972 811.444
95.174 808.04
95.3761 806.429
95.5782 806.382
95.7802 808.129
95.9823 811.824
96.1844 818.525
96.3864 823.237
96.5885 823.363
96.7906 796.885
96.9926 738.474
97.1947 673.452
97.3968 613.349
97.5988 568.955
97.8009 540.361
98.003 523.062
98.205 513.144
98.4071 517.929
98.6092 530.437
98.8113 549.783
99.0133 584.256
99.2154 627.225
99.4175 673.251
99.6195 708.792
99.8216 698.078
100.024 661.125
100.226 604.904
100.428 538.265
100.63 477.512
100.832 414.982
101.034 401.654
101.236 415.195
101.438 474.03
101.64 539.344
101.842 600.7
102.044 661.155
102.246 698.561
102.448 697.063
102.651 674.341
102.853 627.688
103.055 585.18
103.257 551.067
103.459 530.801
103.661 518.605
103.863 515.334
104.065 523.93
104.267 541.129
104.469 569.256
104.671 612.536
104.873 673.82
105.075 738.63
105.277 799.035
105.479 823.409
105.682 823.216
105.884 818.498
106.086 811.811
106.288 808.119
106.49 806.358
106.692 806.387
106.894 808.015
107.096 811.421
107.298 817.455
107.5 824.389
107.702 832.484
107.904 818.01
108.106 777.798
108.308 719.702
108.511 654.019
108.713 600.688
108.915 563.384
109.117 541.98
109.319 529.677
109.521 527.872
109.723 536.681
109.925 554.616
110.127 586.607
110.329 632.688
110.531 695.711
110.733 760.076
110.935 804.3
111.137 833.034
111.339 827.569
111.542 820.84
111.744 812.959
111.946 809.307
112.148 807.465
112.35 807.357
112.552 809.002
112.754 812.526
112.956 818.786
113.158 825.696
113.36 833.924
113.562 809.741
113.764 766.214
113.966 703.915
114.168 639.341
114.37 591.085
114.573 557.751
114.775 538.19
114.977 527.825
115.179 529.129
115.381 539.75
115.583 557.778
115.785 596.396
115.987 646.34
116.189 711.67
116.391 771.081
116.593 811.67
116.795 831.372
116.997 825.836
117.199 818.825
117.402 811.696
117.604 808.445
117.806 806.999
118.008 807.234
118.21 809.282
118.412 813.226
118.614 819.895
118.816 827.072
119.018 832.186
119.22 801.295
119.422 754.056
119.624 688.614
119.826 625.638
120.028 582.195
120.23 553.318
120.433 535.181
120.635 526.433
120.837 530.043
121.039 543.257
121.241 564.421
121.443 606.629
121.645 659.94
121.847 727.224
122.049 781.789
122.251 820.577
122.453 831.523
122.655 823.106
122.857 815.953
123.059 810.624
123.261 807.766
123.464 806.266
123.666 807.327
123.868 809.893
124.07 814.513
124.272 821.436
124.474 829.508
124.676 827.153
124.878 791.669
125.08 740.697
125.282 673.851
125.484 614.047
125.686 574.056
125.888 548.265
126.09 532.098
126.293 525.576
126.495 532.493
126.697 548.857
126.899 574.196
127.101 613.694
127.303 673.796
127.505 740.69
127.707 791.68
127.909 827.16
128.111 829.506
128.313 821.433
128.515 814.512
128.717 809.895
128.919 807.332
129.121 806.272
129.324 807.77
129.526 810.629
129.728 815.975
129.93 823.15
130.132 831.549
130.334 820.789
130.536 781.867
130.738 726.623
130.94 662.465
131.142 608.101
131.344 562.685
131.546 543.335
131.748 530.443
131.95 526.345
132.152 535.482
132.355 552.188
132.557 580.806
132.759 627.689
132.961 688.831
133.163 753.871
133.365 809.688
133.567 829.711
133.769 826.474
133.971 820.823
134.173 813.23
134.375 809.312
134.577 807.267
134.779 807.019
134.981 808.456
135.183 811.698
135.386 818.833
135.588 825.925
135.79 831.616
135.992 811.706
136.194 771.13
136.396 712.113
136.598 644.86
136.8 596.554
137.002 560.335
137.204 539.645
137.406 528.467
137.608 527.91
137.81 537.999
138.012 557.411
138.215 590.747
138.417 640.017
138.619 702.609
138.821 765.88
139.023 810.009
139.225 834.057
139.427 825.774
139.629 818.804
139.831 812.511
140.033 809.004
140.235 807.367
140.437 807.479
140.639 809.323
140.841 812.979
141.043 820.832
141.246 827.465
141.448 832.776
141.65 804.281
141.852 760.195
142.054 695.818
142.256 632.705
142.458 586.686
142.66 554.917
142.862 536.742
143.064 527.828
143.266 529.704
143.468 541.831
143.67 563.004
143.872 600.727
144.074 654.071
144.277 719.818
144.479 777.796
144.681 817.94
144.883 832.4
145.085 824.349
145.287 817.469
145.489 811.452
145.691 808.038
145.893 806.407
146.095 806.395
146.297 808.078
146.499 811.574
146.701 818.833
146.903 823.945
147.106 821.66
147.308 788.815
147.51 739.903
147.712 672.89
147.914 611.194
148.116 569.592
148.318 541.331
148.52 523.799
148.722 515.532
148.924 518.598
149.126 530.397
